Language_ID,Language_Name,ISO_Code,Family_ID,Genus_ID,Status,Macroarea,Latitude,Longitude,Countrycodes
marm1234,Arakanese (Marma),mhv,18,20,safe,Eurasia,22.759948,92.210748,MM BD
akan1250,Akan,aka,4,5,unknown,Africa,6.34756,-1.33254,GH
cypr1248,Arabic (Kormakiti),acy,2,4,severely endangered,Eurasia,35.1674,33.0943,CY
arik1262,Arikara,ari,32,44,critically endangered,North America,40.6473,-98.7158,US
akaw1239,Akawaio,ake,33,45,vulnerable,South America,6.16277,-60.862,GY
alam1246,Alamblak,amp,3,46,unknown,Papunesia,-4.66307,143.316,PG
tosk1239,Albanian,aln,24,47,unknown,Eurasia,41.0,20.0,AL RS
alle1238,Allentiac,,34,48,extinct,South America,-33.480938,-68.096924,AR
alla1248,Alladian,ald,4,5,safe,Africa,5.22371,-4.42647,CI
algo1255,Algonquin,alq,11,13,severely endangered,North America,47.3876,-77.5258,CA
arop1243,Arop-Lokep,apr,12,25,unknown,Papunesia,-5.31671,147.103,PG
lala1268,Ala'ala,nrz,12,25,safe,Papunesia,-8.93195,146.749,PG
alun1238,Alune,alp,12,49,unknown,Papunesia,-3.11477,128.394,ID
alse1251,Alsea,aes,35,50,unknown,North America,44.408,-123.94,US
swis1247,Alsatian,gsw,24,27,unknown,Eurasia,47.0516,8.46419,FR
alut1245,Alutor,alr,36,51,unknown,Eurasia,60.3844,165.653,RU
alaw1244,Alawa,alh,37,52,critically endangered,Australia,-15.5458,134.282,AU
bata1292,Alas,btz,12,53,safe,Papunesia,3.4293,97.8123,ID
alya1239,Alyawarra,aly,8,9,safe,Australia,-21.0427,136.835,AU
amar1272,Amara,aie,12,25,safe,Papunesia,-5.55778,148.68,PG
ambu1247,Ambulas,abt,3,54,unknown,Papunesia,-3.7801,143.059,PG
amah1246,Amahuaca,amc,38,55,unknown,South America,-10.2012,-72.3208,PE BR
amdo1237,Amdo,adx,18,56,unknown,Eurasia,34.5177,100.485,CN
amel1241,Amele,aey,25,57,unknown,Papunesia,-5.29126,145.687,PG
amha1245,Amharic,amh,2,4,safe,Africa,11.708182,39.543456,ET
amis1246,Amis,ami,12,58,unknown,Papunesia,23.0917,121.348,TW
amar1274,Amarakaeri,amr,39,59,definitely endangered,South America,-12.4931,-70.5533,PE
east2443,Ambae (Lolovoli Northeast),omb,12,25,unknown,Papunesia,-15.3523,167.89,VU
amap1240,Ama,amm,40,60,safe,Papunesia,-4.20192,141.658,PG
aman1265,Amanab,amn,41,61,safe,Papunesia,-3.51516,141.178,PG
amoo1242,Amo,amo,4,62,safe,Africa,10.3229,8.65405,NG
east2379,Arrernte (Mparntwe),aer,8,9,unknown,Australia,-23.3583,135.046,AU
amba1265,Ambai,amk,12,63,unknown,Papunesia,-1.88126,136.526,ID
moro1292,Arabic (Moroccan),ary,2,4,unknown,Africa,32.5,-7.5,MA
stan1318,Arabic (Modern Standard),arb,2,4,safe,Eurasia,27.9625,43.8525,KM KW SO SY OM QA EG TN MA LY JO LB ER YE SA IQ PS DZ AE BH SD IL
yane1238,Yanesha',ame,13,64,severely endangered,South America,-10.5454,-75.315,PE
anam1248,Anamuxra,imi,25,57,safe,Papunesia,-4.63762,144.991,PG
guer1243,Amuzgo,amu,42,65,safe,North America,16.77226,-98.18953,MX
arao1248,Araona,aro,43,66,severely endangered,South America,-12.4242,-67.7293,BO
ngas1240,Angas,anc,2,67,unknown,Africa,9.32042,9.46146,NG
anem1249,Anêm,anz,44,68,safe,Papunesia,-5.54836,148.993,PG
ango1254,Anggor,agg,45,69,unknown,Papunesia,-3.7167,141.199,PG
anii1246,//Ani,hnh,46,70,definitely endangered,Africa,-19.0966,22.9088,BW
anei1239,Anejom,aty,12,25,safe,Papunesia,-20.1864,169.825,VU
anin1240,Anindilyakwa,aoi,47,71,vulnerable,Australia,-13.99904,136.6415,AU
nung1282,Anong,nun,18,72,unknown,Eurasia,27.2887,98.7333,CN MM
anga1290,Angaatiha,agm,25,73,safe,Papunesia,-7.15012,146.352,PG
anuf1239,Anufo,cko,4,5,safe,Africa,10.2839,0.56021,GH TG BJ
